Time(ms),Volume,Pressure,Temperature 1,Temperature 2,,Time(ms) - Driven,Volume - Driven,Pressure - Driven,Temperature 1 - Driven,Temperature 2 - Driven
1401,30.457052507222627,90.7421875,206,53.75,,1282,34.93200531,71.32080078,44.75,28.75
1408,30.116346067935485,92.890625,206,53.75,,1290,36.968387960155184,69.51416016,44.75,28.75
1413,29.93463386548915,94.12353516,206,53.75,,1298,38.911482023369864,68.79394531,44.75,28.75
1421,29.8671129,95.49072266,206,53.75,,1306,40.475853219726574,68.85498047,44.75,28.75
1428,29.854583217737126,95.96679688,206,53.75,,1315,41.40571824087461,69.46533203,44.75,28.75
1433,29.93979666542124,95.93017578,206,53.75,,1323,41.60074157833829,70.8203125,44.75,28.75
1441,30.055708854494995,95.29541016,206,53.75,,1331,41.02557576896248,72.68798828,44.75,28.75
1446,30.30347644513425,94.48974609,206,53.75,,1339,39.73385534822518,75.47119141,44.75,28.75
1454,30.540548610689296,92.67089844,206,53.75,,1347,37.92066446048281,78.84033203,44.75,28.75
1461,31.04527304618231,90.59570313,206.25,53.75,,1356,35.868514848362366,83.00292969,44.75,28.75
1467,31.608906174805753,88.65478516,206.25,53.75,,1364,33.86114856683971,87.20214844,44.75,28.75
1475,32.18749554906859,85.89599609,206.25,53.75,,1372,32.194156419872385,91.1328125,44.75,28.75
1483,33.104883157129656,83.35693359,206.25,53.75,,1381,30.952151366499038,93.64746094,44.75,28.75
1491,34.006210828899285,80.47607422,206.25,53.75,,1389,30.120813836710656,93.70849609,44.75,28.75
1499,35.14424380907827,78.046875,206.25,53.75,,1398,29.849962549873634,91.41357422,44.5,28.75
1507,36.30769615503023,75.71533203,206.25,53.75,,1406,29.999434532535727,87.33642578,44.5,28.75
1515,37.453058182876575,73.77441406,206.25,53.75,,1414,30.584347825433156,82.35595703,44.5,28.75
1524,38.51952470898745,72.05322266,206.25,53.75,,1421,31.637932103866653,78.20556641,44.5,28.75
1532,39.46335777281545,70.68603516,206,53.75,,1429,32.951153319473164,74.34814453,44.5,28.75
1540,40.22533669286754,69.44091797,206,53.75,,1438,34.81309239584599,71.39404297,44.5,28.75
1548,40.823879311535606,68.46435547,206,53.75,,1446,36.86323734476613,69.62402344,44.5,28.75
1556,41.25643658928915,67.62207031,206,53.75,,1454,38.80846809911299,68.80615234,44.5,28.75
1563,41.51924496914428,67.01171875,206,53.75,,1462,40.38833329989831,68.83056641,44.5,28.75
1568,41.61869763502928,66.70654297,206,53.75,,1470,41.37341321069442,69.47753906,44.75,28.75
1573,41.623002988696385,66.36474609,206,53.75,,1478,41.61106352875953,70.68603516,44.75,28.75
1580,41.574857666241066,66.03515625,206,53.75,,1487,41.079465967951386,72.61474609,44.75,28.75
1585,41.41415441233086,65.85205078,206,53.75,,1495,39.82346545,75.21484375,44.75,28.75
1592,41.23048453620494,65.69335938,206,53.75,,1503,38.022127649756904,78.74267578,44.75,28.75
1597,40.88061763907932,65.64453125,206,53.75,,1511,35.98278062544008,82.68554688,44.75,28.75
1604,40.566534551095046,65.65673828,206,53.75,,1519,33.96334268235288,87.08007813,44.75,28.75
1610,40.040030178025106,65.79101563,206,53.75,,1528,32.274803638506626,90.87646484,44.75,28.75
1617,39.60412682479475,66.15722656,206,53.75,,1536,31.007562016932653,93.41552734,44.75,28.75
1625,38.89439378555174,66.75537109,206,53.75,,1543,30.215341457607636,93.84277344,44.75,28.75
1633,38.00372339817959,67.78076172,206,53.75,,1550,29.88741824,92.63427734,44.75,28.75
1641,36.977939460026164,69.14794922,206,53.75,,1555,29.88568839023454,90.71777344,44.75,28.75
1649,35.90657334091378,71.07666016,206,53.75,,1562,30.079860544188534,86.89697266,44.75,28.75
1658,34.82221107720209,73.44482422,206,53.75,,1568,30.656501959682835,83.73535156,44.75,28.75
1666,33.75156328223855,76.41113281,206,53.75,,1575,31.284492234828598,79.609375,44.75,28.75
1674,32.77111809254147,79.67041016,206,53.75,,1580,32.46105698486745,76.97265625,44.75,28.75
1682,31.891135410718014,83.19824219,206,53.75,,1588,33.51966539791672,73.32275391,44.75,28.75
1690,31.18211897771231,86.50634766,206,53.75,,1596,35.48059559143775,70.66162109,44.75,28.75
1699,30.625701609237506,89.71679688,206,53.75,,1604,37.53789876331218,69.24560547,44.75,28.75
